0,0-0,0:            ENCODING       'utf-8'        
1,0-1,3:            NAME           'def'          
1,4-1,11:           NAME           'times_2'      
1,11-1,12:          LPAR           '('            
1,12-1,17:          NAME           'array'        
1,17-1,18:          RPAR           ')'            
1,18-1,19:          COLON          ':'            
1,19-1,20:          NEWLINE        '\n'           
2,0-2,4:            INDENT         '    '         
2,4-2,13:           NAME           'new_array'    
2,14-2,15:          EQUAL          '='            
2,16-2,17:          LSQB           '['            
2,17-2,18:          NAME           'i'            
2,18-2,19:          STAR           '*'            
2,19-2,20:          NUMBER         '2'            
2,21-2,24:          NAME           'for'          
2,25-2,26:          NAME           'i'            
2,27-2,29:          NAME           'in'           
2,30-2,35:          NAME           'array'        
2,35-2,36:          RSQB           ']'            
2,37-2,38:          NEWLINE        '\n'           
3,4-3,10:           NAME           'return'       
3,11-3,20:          NAME           'new_array'    
3,20-3,21:          NEWLINE        '\n'           
4,0-4,1:            NL             '\n'           
5,0-5,1:            NL             '\n'           
6,0-6,1:            NL             '\n'           
7,0-7,0:            DEDENT         ''             
7,0-7,2:            NAME           'if'           
7,3-7,11:           NAME           '__name__'     
7,12-7,14:          EQEQUAL        '=='           
7,15-7,25:          STRING         '"__main__"'   
7,25-7,26:          COLON          ':'            
7,26-7,27:          NEWLINE        '\n'           
8,0-8,4:            INDENT         '    '         
8,4-8,5:            NAME           'x'            
8,6-8,7:            EQUAL          '='            
8,8-8,9:            LSQB           '['            
8,9-8,10:           NUMBER         '1'            
8,10-8,11:          COMMA          ','            
8,11-8,12:          NUMBER         '2'            
8,12-8,13:          COMMA          ','            
8,13-8,14:          NUMBER         '3'            
8,14-8,15:          COMMA          ','            
8,15-8,16:          NUMBER         '4'            
8,16-8,17:          COMMA          ','            
8,17-8,18:          NUMBER         '5'            
8,18-8,19:          RSQB           ']'            
8,19-8,20:          NEWLINE        '\n'           
9,4-9,5:            NAME           'y'            
9,6-9,7:            EQUAL          '='            
9,8-9,9:            LSQB           '['            
9,9-9,10:           NAME           'i'            
9,10-9,11:          STAR           '*'            
9,11-9,12:          NUMBER         '2'            
9,13-9,16:          NAME           'for'          
9,17-9,18:          NAME           'i'            
9,19-9,21:          NAME           'in'           
9,22-9,23:          NAME           'x'            
9,23-9,24:          RSQB           ']'            
9,24-9,25:          NEWLINE        '\n'           
10,4-10,9:          NAME           'print'        
10,9-10,10:         LPAR           '('            
10,10-10,39:        STRING         "f'The final sum is: {sum(y)}'"
10,39-10,40:        RPAR           ')'            
10,40-10,41:        NEWLINE        ''             
11,0-11,0:          DEDENT         ''             
11,0-11,0:          ENDMARKER      ''             
